title,wiki_title,year
Good Boys,Good Boys (film),2019
Stuber,Stuber (film),2019
Shazam!,Shazam! (film),2019
When We First Met,When We First Met,2018
Blockers,Blockers (film),2018
Game Night,Game Night (film),2018
Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,2017
Thor: Ragnarok,Thor: Ragnarok,2017
The Other Woman,The Other Woman (2014 film),2014
How to Be a Latin Lover,How to Be a Latin Lover,2017
A Very Harold & Kumar Christmas,A Very Harold & Kumar 3D Christmas,2011
Going in Style,Going in Style (2017 film),2017
The Campaign,The Campaign (film),2012
CHIPS,CHiPs (film),2017
The Dictator,The Dictator (2012 film),2012
War Dogs,War Dogs (2016 film),2016
Step Brothers,Step Brothers (film),2008
Central Intelligence,Central Intelligence,2016
Ted,Ted (film),2012
Keanu,Keanu (film),2016
The Hangover,The Hangover,2009
The Brothers Grimsby,The Brothers Grimsby,2016
Bad Teacher,Bad Teacher,2011
My Big Fat Greek Wedding 2,My Big Fat Greek Wedding 2,2016
Superbad,Superbad (film),2007
The Night Before,The Night Before (2015 film),2015
Bridesmaids,Bridesmaids (2011 film),2011
Daddy's Home,Daddy's Home (film),2015
Project X,Project X (2012 film),2012
The Intern,The Intern (2015 film),2015
"Crazy, Stupid, Love.",Crazy Stupid Love,2011
Ted 2,Ted 2,2015
American Reunion,American Reunion,2012
The DUFF,The DUFF (film),2015
Get Him to the Greek,Get Him to the Greek,2010
Get Hard,Get Hard,2015
That's My Boy,That's My Boy (2012 film),2012
The Wedding Ringer,The Wedding Ringer,2015
Zack and Miri Make a Porno,Zack and Miri Make a Porno,2008
Knocked Up,Knocked Up,2007
Wedding Crashers,Wedding Crashers,2005
Harold & Kumar Escape from Guantanamo Bay,Harold & Kumar Escape from Guantanamo Bay,2008
Hot Fuzz,Hot Fuzz,2007
Scary Movie,Scary Movie,2000
Scary Movie 2,Scary Movie 2,2001
School of Rock,School of Rock,2003
American Pie 2,American Pie 2,2001
American Wedding,American Wedding,2003
She's the Man,She's the Man,2006
Bruce Almighty,Bruce Almighty,2003
The Ugly Truth,The Ugly Truth (film),2009
You Don't Mess with the Zohan,You Don't Mess with the Zohan,2008
Click,Click (2006 film),2006
Big Stan,Big Stan,2007
The Longest Yard,The Longest Yard (2005 film),2005
The Hangover Part II,The Hangover Part II,2011
Easy A,Easy A,2010
Due Date,Due Date,2010
Rush Hour 2,Rush Hour 2,2001
Rush Hour 3,Rush Hour 3,2007
White Chicks,White Chicks,2004
Just Go with It,Just Go with It,2011
Accepted,Accepted (film),2006
Road Trip,Road Trip (film),2000
EuroTrip,EuroTrip,2004
Elf,Elf (film),2003
Here Comes the Boom,Here Comes the Boom,2012
Tucker and Dale vs Evil,Tucker and Dale vs Evil,2010
Yes Man,Yes Man (film),2008
Meet the Fockers,Meet the Fockers,2004
Meet the Parents,Meet the Parents,2000
50 First Dates,50 First Dates,2004
The Hot Chick,The Hot Chick,2002
Walk Hard: The Dewey Cox Story,Walk Hard: The Dewey Cox Story,2007
17 Again,17 Again (film),2009
The Inbetweeners Movie,The Inbetweeners Movie,2011
The Rocker,The Rocker (film),2008
Tenacious D in the Pick of Destiny,Tenacious D in The Pick of Destiny,2006
Blades of Glory,Blades of Glory,2007
The Heat,The Heat (film),2013
We're the Millers,We're the Millers,2013
30 Minutes or Less,30 Minutes or Less,2011
Hall Pass,Hall Pass (film),2011
Jackass Presents: Bad Grandpa,Jackass Presents: Bad Grandpa,2013
Last Vegas,Last Vegas,2013
Super,Super (2010 American film),2010
Youth in Revolt,Youth in Revolt (film),2009
Goon,Goon (film),2011
Ride Along,Ride Along (film),2014
About Last Night,About Last Night (2014 film),2014
Forgetting Sarah Marshall,Forgetting Sarah Marshall,2008
21 Jump Street,21 Jump Street (film),2012
22 Jump Street,22 Jump Street,2014
Let's Be Cops,Let's Be Cops,2014
Me Myself & Irene,Me Myself & Irene,2000
The Interview,The Interview (2014 film),2014
Dumb and Dumber To,Dumb and Dumber To,2014
Grandma's Boy,Grandma's Boy (2006 film),2006
St. Vincent,St. Vincent (film),2014
Blended,Blended (film),2014
